Subj Ses Group Intake Batch Sex Age InputFile
sub-54 ses-T1 Ctrl Ctrl B4 female 44 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-54/sub-54_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-59 ses-T1 Ctrl Ctrl B4 female 44 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-59/sub-59_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-5 ses-T1 Ctrl Ctrl B1 female 47 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-5/sub-5_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-63 ses-T1 Ctrl Ctrl B4 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-63/sub-63_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-64 ses-T1 Ctrl Ctrl B4 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-64/sub-64_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-70 ses-T1 Ctrl Ctrl B5 female 44 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-70/sub-70_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-75 ses-T1 Ctrl Ctrl B5 female 44 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-75/sub-75_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-84 ses-T1 Ctrl Ctrl B5 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-84/sub-84_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-87 ses-T1 Ctrl Ctrl B5 male 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-87/sub-87_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-89 ses-T1 Ctrl Ctrl B6 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-89/sub-89_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-90 ses-T1 Ctrl Ctrl B6 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-90/sub-90_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-91 ses-T1 Ctrl Ctrl B6 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-91/sub-91_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-92 ses-T1 Ctrl Ctrl B6 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-92/sub-92_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-93 ses-T1 Ctrl Ctrl B6 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-93/sub-93_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-95 ses-T1 Ctrl Ctrl B6 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-95/sub-95_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-96 ses-T1 Ctrl Ctrl B6 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-96/sub-96_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-98 ses-T1 Ctrl Ctrl B6 female 45 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T1/Ctrl/sub-98/sub-98_ses-T1_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-101 ses-T2 Alc High B6 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-101/sub-101_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-103 ses-T2 Alc High B6 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-103/sub-103_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-107 ses-T2 Alc High B6 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-107/sub-107_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-110 ses-T2 Alc Low B6 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-110/sub-110_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-113 ses-T2 Alc High B6 female 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-113/sub-113_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-115 ses-T2 Alc Low B6 female 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-115/sub-115_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-118 ses-T2 Alc Low B6 female 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-118/sub-118_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-120 ses-T2 Alc Low B6 female 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-120/sub-120_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-122 ses-T2 Alc Low B6 female 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-122/sub-122_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-124 ses-T2 Alc High B6 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-124/sub-124_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-125 ses-T2 Alc High B6 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-125/sub-125_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-12 ses-T2 Alc Low B1 male 69 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-12/sub-12_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-130 ses-T2 Alc High B6 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-130/sub-130_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-132 ses-T2 Alc High B6 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-132/sub-132_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-133 ses-T2 Alc Low B6 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-133/sub-133_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-135 ses-T2 Alc High B6 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-135/sub-135_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-13 ses-T2 Alc High B1 male 69 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-13/sub-13_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-14 ses-T2 Alc Low B1 male 69 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-14/sub-14_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-16 ses-T2 Alc Low B1 male 69 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-16/sub-16_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-17 ses-T2 Alc High B2 female 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-17/sub-17_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-18 ses-T2 Alc Low B2 female 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-18/sub-18_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-19 ses-T2 Alc Low B2 female 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-19/sub-19_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-1 ses-T2 Alc Low B1 female 70 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-1/sub-1_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-20 ses-T2 Alc Low B2 female 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-20/sub-20_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-22 ses-T2 Alc Low B2 female 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-22/sub-22_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-24 ses-T2 Alc High B2 female 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-24/sub-24_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-25 ses-T2 Alc Low B2 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-25/sub-25_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-26 ses-T2 Alc High B2 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-26/sub-26_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-29 ses-T2 Alc High B2 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-29/sub-29_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-2 ses-T2 Alc Low B1 female 70 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-2/sub-2_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-30 ses-T2 Alc Low B2 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-30/sub-30_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-32 ses-T2 Alc Low B2 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-32/sub-32_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-33 ses-T2 Alc Low B3 female 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-33/sub-33_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-35 ses-T2 Alc Low B3 female 69 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-35/sub-35_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-36 ses-T2 Alc Low B3 female 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-36/sub-36_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-37 ses-T2 Alc Low B3 female 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-37/sub-37_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-38 ses-T2 Alc Low B3 female 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-38/sub-38_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-39 ses-T2 Alc Low B3 female 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-39/sub-39_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-41 ses-T2 Alc High B3 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-41/sub-41_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-42 ses-T2 Alc Low B3 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-42/sub-42_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-43 ses-T2 Alc Low B3 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-43/sub-43_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-45 ses-T2 Alc High B3 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-45/sub-45_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-47 ses-T2 Alc Low B3 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-47/sub-47_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-48 ses-T2 Alc Low B3 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-48/sub-48_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-4 ses-T2 Alc High B1 female 70 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-4/sub-4_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-50 ses-T2 Alc Low B3 male 69 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-50/sub-50_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-51 ses-T2 Alc Low B3 male 69 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-51/sub-51_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-69 ses-T2 Alc Low B5 female 67 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-69/sub-69_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-6 ses-T2 Alc Low B1 female 70 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-6/sub-6_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-76 ses-T2 Alc Low B5 female 67 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-76/sub-76_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-77 ses-T2 Alc Low B5 female 67 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-77/sub-77_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-7 ses-T2 Alc Low B1 female 70 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-7/sub-7_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-85 ses-T2 Alc High B5 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-85/sub-85_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-88 ses-T2 Alc Low B6 female 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-88/sub-88_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-8 ses-T2 Alc Low B1 female 70 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-8/sub-8_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-94 ses-T2 Alc Low B6 female 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-94/sub-94_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-97 ses-T2 Alc Low B6 female 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-97/sub-97_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-99 ses-T2 Alc Low B6 female 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-99/sub-99_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-9 ses-T2 Alc Low B1 male 69 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Alc/sub-9/sub-9_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-102 ses-T2 Ctrl Ctrl B6 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Ctrl/sub-102/sub-102_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-105 ses-T2 Ctrl Ctrl B6 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Ctrl/sub-105/sub-105_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-106 ses-T2 Ctrl Ctrl B6 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Ctrl/sub-106/sub-106_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-109 ses-T2 Ctrl Ctrl B6 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Ctrl/sub-109/sub-109_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-112 ses-T2 Ctrl Ctrl B6 female 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Ctrl/sub-112/sub-112_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-116 ses-T2 Ctrl Ctrl B6 female 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Ctrl/sub-116/sub-116_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-121 ses-T2 Ctrl Ctrl B6 female 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Ctrl/sub-121/sub-121_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-126 ses-T2 Ctrl Ctrl B6 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Ctrl/sub-126/sub-126_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-127 ses-T2 Ctrl Ctrl B6 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Ctrl/sub-127/sub-127_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
sub-129 ses-T2 Ctrl Ctrl B6 male 68 /scratch/m/mchakrav/jrasgado/sudmex_alcohol_rat/analysis/fmri/Seed_based/ses-T2/Ctrl/sub-129/sub-129_ses-T2_task-rest_run-01_bold_RAS_combined_cleaned_right_hypothalamic_region_Pmod4L_peaks_sphere_bin_corr_map.nii.gz
